俗名	拉丁名	基因组大小M	单位或作者	文章标题	期刊名称	文章DOI	PUBMED号	发表年份	开始年份	分类	分组
(Winter cress)	Barbarea vulgaris	270	Byrne SL et al.	The genome sequence of Barbarea vulgaris facilitates the study of ecological biochemistry.	Sci Rep. 2017 Jan 17 7:40728.	10.1038/srep40728	28094805	2017	2017/1/17	rosid	1
 	Cleistogenes songorica	542	Zhang J et al.	The genome of Cleistogenes songorica provides a blueprint for functional dissection of dimorphic flower differentiation and drought adaptability.	"Plant Biotechnol J. 2020 Sep 22, Online ahead of print."	10.1111/pbi.13483	NA	2020	2020/9/22	monocotyledon	2
(Indian rice)	Oryza sativa ssp. indica	430	Yu et al.	A draft sequence of the rice genome (Oryza sativa L. ssp. indica).	Science. 2002 Apr 5 296(5565):79-92.	10.1126/science.1068037	28447635	2002	2002/4/5	monocotyledon	2
(Asian wild rice)	Oryza granulata	780	Wu Z et al.	De novo genome assembly of Oryza granulata reveals rapid genome expansion and adaptive evolution.	"Commun Biol. 2018 Jun 29, 1:84"	10.1038/s42003-018-0089-4	30271965	2018	2018/6/29	monocotyledon	2
(Asian wild rice)	Oryza coarctata	665	Mondal TK et al.	"First de novo draft genome sequence of Oryza coarctata, the only halophytic species in the genus Oryza."	"F1000Res. 2017 Dec 15, 6: 1750"	10.12688/f1000research.12414.2	29123646	2017	2017/12/15	monocotyledon	2
(African wild red rice)	Oryza punctata	423	Stein JC et al.	"Genomes of 13 domesticated and wild rice relatives highlight genetic conservation, turnover and innovation across the genus Oryza"	Nat Genet. 2018 Jan 22. Epub ahead of print	10.1038/s41588-018-0040-0		2018	2018/1/22	monocotyledon	2
(Wild red rice)	Oryza rufipogon	450	Stein JC et al.	"Genomes of 13 domesticated and wild rice relatives highlight genetic conservation, turnover and innovation across the genus Oryza"	Nat Genet. 2018 Jan 22. Epub ahead of print	10.1038/s41588-018-0040-0		2018	2018/1/22	monocotyledon	2
(Orchardgrass)	Dactylis glomerata	1940	Huang L et al.	Genome assembly provides insights into the genome evolution and flowering regulation of orchardgrass.	"Plant Biotechnol J. 2019 Jul 5, Epub ahead of print"	10.1111/pbi.13205	31276273	2019	2019/7/5	monocotyledon	2
(Perrier's cutgrass)	Leersia perrieri	323	Stein JC et al.	"Genomes of 13 domesticated and wild rice relatives highlight genetic conservation, turnover and innovation across the genus Oryza"	Nat Genet. 2018 Jan 22. Epub ahead of print	10.1038/s41588-018-0040-0		2018	2018/1/22	monocotyledon	2
(Japanese rice)	Oryza sativa ssp. japonica	430	Goff et al.	A draft sequence of the rice genome (Oryza sativa L. ssp. japonica).	Science. 2002 Apr 5 296(5565):92-100.	10.1126/science.1068275	28447635	2002	2002/4/5	monocotyledon	2
(Pineapple)	Ananas comosus	526	Ming R et al.	The pineapple genome and the evolution of CAM photosynthesis.	Nat Genet. 2015 Dec 47(12):1435-42. Epub 2015 Nov 2.	10.1038/ng.3435	26523774	2015	2015/11/2	monocotyledon	2
(Red pineapple)	Ananas bracteatus	590	Chen LY et al.	The bracteatus pineapple genome and domestication of clonally propagated crops.	"Nat Genet. 2019 Sep 30, Epub ahead of print"	10.1038/s41588-019-0506-8	NA	2019	2019/9/30	monocotyledon	2
 	Kobresia littledalei	415	Can M et al.	"Genome Sequence of Kobresia Littledalei, the First Chromosome-Level Genome in the Family Cyperaceae."	"Sci Data. 2020 Jun 11, 7(1): 175"	10.1038/s41597-020-0518-3	NA	2020	2020/6/11	monocotyledon	2
(Jiaobai)	Zizania latifolia	590	Guo L et al.	A host plant genome (Zizania latifolia) after a century-long endophyte infection	Plant J. 2015 Aug 83(4):600-9. Epub 2015 Jul 7.	10.1111/tpj.12912	26072920	2015	2015/6/13	monocotyledon	2
(Amur river grape)	Vitis amurensis	610	Wang Y et al.	The genome of Shanputao (Vitis amurensis) provides a new insight into cold tolerance of grapevine.	Plant J. 2020 Dec 10. Online ahead of print.	10.1111/tpj.15127	NA	2020	2020/12/10	rosid	1
(Grape)	Vitis vinifera	475	Jaillon et al.	The grapevine genome sequence suggests ancestral hexaploidization in major angiosperm phyla.	Nature. 2007 Sep 27;449(7161):463-7. Epub 2007 Aug 26.	10.1038/nature06148	17721507	2007	2007/8/26	rosid	1
(Riverbank grape)	Vitis riparia	495	Girollet N et al.	De Novo Phased Assembly of the Vitis Riparia Grape Genome.	" Sci Data. 2019 Jul 19, 6(1): 127"	10.1038/s41597-019-0133-3	NA	2019	2019/7/19	rosid	1
(Black cottonwood)	Populus trichocarpa	485	Tuskan et al.	"The genome of black cottonwood, Populus trichocarpa (Torr. & Gray)."	Science. 2006 Sep 15 313(5793):1596-604.	10.1126/science.1128691	16973872	2006	2006/9/15	rosid	1
	Populus glandulosa x P.alba	475	Qiu D et al.	The genome of Populus alba x Populus tremula var. glandulosa clone 84K.	"DNA Res. 2019 Oct 3, Epub ahead of print"	10.1093/dnares/dsz020	NA	2019	2019/10/3	rosid	1
(Euphrates poplar)	Populus euphratica	593	Ma T et al.	Genomic insights into salt adaptation in a desert poplar.	"Nat Commun. 2013, 4: 2797"	10.1038/ncomms3797	NA	2013	2013/11/21	rosid	1
(African poplar)	Populus ilicifolia	444	Chen Z et al.	"Survival in the Tropics despite isolation, inbreeding and asexual reproduction: insights from the genome of the world's southernmost poplar (Populus ilicifolia)."	"Plant J. 2020 Mar 13, Epub ahead of print"	10.1111/tpj.14744	NA	2020	2020/3/13	rosid	1
(European aspen)	Populus tremula	442	Lin YC et al.	Functional and evolutionary genomic inferences in Populus through genome and population sequencing of American and European aspen	"Proc Natl Acad Sci U S A. 2018 Oct 29, Epub ahead of print"	10.1073/pnas.1801437115	30373829	2018	2018/10/29	rosid	1
(American aspen)	Populus tremuloides	560	Lin YC et al.	Functional and evolutionary genomic inferences in Populus through genome and population sequencing of American and European aspen	"Proc Natl Acad Sci U S A. 2018 Oct 29, Epub ahead of print"	10.1073/pnas.1801437115	30373829	2018	2018/10/29	rosid	1
(Silver poplar)	Populus alba	536	Ma J et al.	Genome sequence and genetic transformation of a widely distributed and cultivated poplar	"Plant Biotechnol J. 2018 Jul 25, Epub ahead of print"	10.1111/pbi.12989	30044051	2018	2018/7/25	rosid	1
(Desert poplar)	Populus pruinosa	590	Yang W et al.	The draft genome sequence of a desert tree Populus pruinosa	GigaScience 2017: gix075	10.1093/gigascience/gix075	16973872	2017	2017/8/8	rosid	1
 	Tapiscia sinensis	410	Zhao P et al.	The de novo genome assembly of Tapiscia sinensis and the transcriptomic and developmental bases of androdioecy.	"Hortic Res. 7, 191 (2020)."	10.1038/s41438-020-00414-w	NA	2020	2020/12/1	rosid	1
(Himalayan sapria)	Sapria himalayana	2500	Cai L et al.	Deeply Altered Genome Architecture in the Endoparasitic Flowering Plant Sapria himalayana Griff. (Rafflesiaceae).	"Curr Biol. 2021 Mar 8, Epub ahead of print"	10.1016/j.cub.2020.12.045	NA	2021	2021/1/22	rosid	1
(Corkscrew willow)	Salix matsudana	656	Zhang J et al.	Genome sequencing and phylogenetic analysis of allotetraploid Salix matsudana Koidz.	"Hortic Res. 7, 201 (2020)."	10.1038/s41438-020-00424-8	NA	2020	2020/12/1	rosid	1
(Shrub willow)	Salix suchowensis	425	Dai X et al.	The willow genome and divergent evolution from poplar after the common genome duplication.	Cell Res. 2014 Oct 24(10):1274-7. Epub 2014 Jul 1.	10.1038/cr.2014.83	24980958	2014	2014/7/1	rosid	1
(Cushion willow)	Salix brachista	420	Chen JH et al.	Genome-wide analysis of Cushion willow provides insights into alpine plant divergence in a biodiversity hotspot.	"Nat Commun. 2019 Nov 19, 10(1): 5230"	10.1038/s41467-019-13128-y	NA	2019	2019/11/19	rosid	1
(Basket willow)	Salix viminalis	360	Almeida P et al.	"Genome assembly of the basket willow, Salix viminalis, reveals earliest stages of sex chromosome expansion."	"BMC Biol. 2020 Jun 30, 18(1): 78"	10.1186/s12915-020-00808-1	NA	2020	2020/6/30	rosid	1
(Maize)	Zea mays	2300	Schnable et al.	"The B73 maize genome: complexity, diversity, and dynamics."	Science. 2009 Nov 20 326(5956):1112-5.	10.1126/science.1178534	19965430	2009	2009/11/20	monocotyledon	2
(Pearl millet)	Cenchrus americanus	2350	Varshney RK et al.	Pearl millet genome sequence provides a resource to improve agronomic traits in arid environments.	Nat Biotechnol. 2017 Sep 18. Epub ahead of print	10.1038/nbt.3943	28922347	2017	2017/9/18	monocotyledon	2
(Elephant grass)	Cenchrus purpureus	1970	Yan Q et al.	The elephant grass (Cenchrus purpureus) genome provides insights into anthocyanidin accumulation and fast growth.	"Mol Ecol Resour. 2020 Oct 11, Online ahead of print."	10.1111/1755-0998.13271	NA	2020	2020/10/11	monocotyledon	2
(Broomcorn millet)	Panicum miliaceum	920	Zou C et al.	The genome of broomcorn millet.	"Nat Commun. 2019 Jan 25, 10(1): 436"	10.1038/s41467-019-08409-5	NA	2019	2019/1/25	monocotyledon	2
(Hall's panicgrass)	Panicum hallii	500	Lovell JT et al.	The genomic landscape of molecular responses to natural drought stress in Panicum hallii.	"Nat Commun. 2018 Dec 6, 9(1): 5213 "	10.1038/s41467-018-07669-x	NA	2018	2018/12/6	monocotyledon	2
(Alkaligrass)	Puccinellia tenuiflora	1500	Zhang W et al.	A high-quality genome sequence of alkaligrass provides insights into halophyte stress tolerance.	"Sci China Life Sci. 2020 Mar 12, Epub ahead of print"	10.1007/s11427-020-1662-x	NA	2020	2020/3/12	monocotyledon	2
	Oropetium thomaeum	245	VanBuren R et al.	Single-molecule sequencing of the desiccation-tolerant grass Oropetium thomaeum.	Nature. 2015 Nov 26 527(7579):508-11. Epub 2015 Nov 11.	10.1038/nature15714	26560029	2015	2015/11/11	monocotyledon	2
(Barnyard grass)	Echinochloa crus-galli	1400	Guo L et al.	Echinochloa crus-galli genome analysis provides insight into its adaptation and invasiveness as a weed.	"Nat. Commun. 2017 Oct 18, 8: article 1031 epub ahead of print"	10.1038/s41467-017-01067-5	29044108	2017	2017/10/18	monocotyledon	2
(Heller's rosette grass)	Dichanthelium oligosanthes	750	Studer AJ et al.	The draft genome of the C3 panicoid grass species Dichanthelium oligosanthes.	Genome Biol. 2016 Oct 28 17(1):223.	10.1186/s13059-016-1080-3	27793170	2016	2016/10/28	monocotyledon	2
(Japanese lawn grass)	Zoysia japonica	390	Tanaka et al.	Sequencing and comparative analyses of the genomes of Zoysiagrasses	DNA Res. 2016 Apr 23(2):171-80. Epub 2016 Mar 14.	10.1093/dnares/dsw006	26975196	2016	2016/3/14	monocotyledon	2
(Manila grass)	Zoysia matrella	380	Tanaka et al.	Sequencing and comparative analyses of the genomes of Zoysiagrasses	DNA Res. 2016 Apr 23(2):171-80. Epub 2016 Mar 14.	10.1093/dnares/dsw006	26975196	2016	2016/3/14	monocotyledon	2
(Mascarene grass)	Zoysia pacifica	370	Tanaka et al.	Sequencing and comparative analyses of the genomes of Zoysiagrasses	DNA Res. 2016 Apr 23(2):171-80. Epub 2016 Mar 14.	10.1093/dnares/dsw006	26975196	2016	2016/3/14	monocotyledon	2
(Purple false brome)	Brachypodium distachyon	272	International Brachypodium Initiative	Genome sequencing and analysis of the model grass Brachypodium distachyon.	Nature. 2010 Feb 11 463(7282):763-8.	10.1038/nature08747	20148030	2010	2010/2/11	monocotyledon	2
(Hybridous mediterranean false brome)	Brachypodium hybridum	509	Gordon SP et al.	 Gradual polyploid genome evolution revealed by pan-genomic analysis of Brachypodium hybridum and its diploid progenitors.	"Nat Commun. 2020 Jul 29, 11(1): 3670"	10.1038/s41467-020-17302-5	NA	2020	2020/7/29	monocotyledon	2
(Stace's false brome)	Brachypodium stacei	234	Gordon SP et al.	 Gradual polyploid genome evolution revealed by pan-genomic analysis of Brachypodium hybridum and its diploid progenitors.	"Nat Commun. 2020 Jul 29, 11(1): 3670"	10.1038/s41467-020-17302-5	NA	2020	2020/7/29	monocotyledon	2
(Indian sandalwood)	Santalum album	220	Mahesh HB et al.	Multi-omics driven assembly and annotation of the sandalwood (Santalum album) genome.	"Plant Physiol. 2018 Feb 12, epub ahead of print"	10.1104/pp.17.01764		2018	2018/2/12	asterid	1
 	Malania oleifera	1500	Xu CQ et al.	"Genome sequence of Malania oleifera, a tree with great value for nervonic acid production"	"GigaScience 2019 Jan 24, giy164"	10.1093/gigascience/giy164	NA	2019	2019/1/24	asterid	1
(Tomato)	Solanum lycopersicum	900	Tomato Genome Consortium	The tomato genome sequence provides insights into fleshy fruit evolution.	Nature. 2012 May 30 485(7400):635-41.	10.1038/nature11119	22660326	2012	2012/5/30	asterid	1
(Wild tomato)	Solanum chilense	950	Stam R et al.	The de Novo Reference Genome and Transcriptome Assemblies of the Wild Tomato Species Solanum chilense Highlights Birth and Death of NLR Genes Between Tomato Species.	"G3 (Bethesda). 2019 Oct 11, Epub ahead of print"	10.1534/g3.119.400529	NA	2019	2019/10/11	asterid	1
(Wild potato)	Solanum chacoense	882	Leisner CP et al.	"Genome sequence of M6, a diploid inbred clone of the high glycoalkaloid-producing tuber-bearing potato species Solanum chacoense, reveals residual heterozygosity."	"Plant J. 2018 Feb 05, Epub ahead of print"	10.1111/tpj.13857		2018	2018/2/5	asterid	1
(Winding jaltomata)	Jaltomata sinuosa	1512	Wu M et al.	Genome sequence of Jaltomata addresses rapid reproductive trait evolution and enhances comparative genomics in the hyper-diverse Solanaceae.	"Genome Biol Evol. 2019 Jan 4, Epub ahead of print"	10.1093/gbe/evy274	30608583	2019	2019/1/4	asterid	1
(Wild sweet potato)	Ipomoea trifida	520	Hirakawa H et al.	"Survey of genome sequences in a wild sweet potato, Ipomoea trifida (H. B. K.) G. Don."	DNA Res. 2015 Apr 22(2):171-9. Epub 2015 Mar 24.	10.1093/dnares/dsv002	25805887	2015	2015/3/24	asterid	1
(Littlebell)	Ipomoea triloba	496	Wu S et al.	Genome sequences of two diploid wild relatives of cultivated sweetpotato reveal targets for genetic improvement.	"Nat Commun. 2018 Nov 1, 9: 4580"	10.1038/s41467-018-06983-8		2018	2018/11/2	asterid	1
(Sweet potato)	Ipomoea batatas	2200	Yang J et al.	Haplotype-resolved sweet potato genome traces back its hexaploidization history.	Nat Plants. 2017 Aug 21. Epub ahead of print	10.1038/s41477-017-0002-z	28827752	2017	2017/8/21	asterid	1
(Prairie dodder)	Cuscuta campestris	580	Vogel A et al.	Footprints of parasitism in the genome of the parasitic flowering plant Cuscuta campestris.	"Nat Commun. 2018 Jun 28, 9(1): 2515"	10.1038/s41467-018-04344-z	29955043	2018	2018/6/28	asterid	1
(Australian dodder)	Cuscuta australis	272	Sun G et al.	Large-scale gene losses underlie the genome evolution of parasitic plant Cuscuta australis.	"Nat Commun. 2018 Jul 11, 9(1): 2683"	10.1038/s41467-018-04721-8	29992948	2018	2018/7/11	asterid	1
(Wild potato)	Solanum commersonii	830	Aversano R et al.	The Solanum commersonii genome sequence provides insights into adaptation to stress conditions and genome evolution of wild potato relatives.	Plant Cell. 2015 Apr 27(4):954-68. Epub 2015 Apr 14.	10.1105/tpc.114.135954	25873387	2015	2015/4/14	asterid	1
(Japanese morning glory)	Ipomoea nil	750	Hoshino A et al.	Genome sequence and analysis of the Japanese morning glory Ipomoea nil	Nat Commun. 2016 Nov 8 7:13295.	10.1038/ncomms13295	27824041	2016	2016/11/8	asterid	1
(Holy basil)	Ocimum sanctum	386	Rastogi S et al.	Unravelling the genome of Holy basil: an incomparable elixir of life of traditional Indian medicine.	BMC Genomics. 2015 May 28 16:413.	10.1186/s12864-015-1640-z	26017011	2015	2015/5/28	asterid	1
(Sweet basil)	Ocimum basilicum	2340	Bornowski N et al.	Genome sequencing of four culinary herbs reveals terpenoid genes underlying chemodiversity in the Nepetoideae.	"DNA Res. 2020 Jul 31: dsaa016, Online ahead of print."	10.1093/dnares/dsaa016	NA	2020	2020/7/31	asterid	1
(Sweet marjoram)	Origanum majorana	880	Bornowski N et al.	Genome sequencing of four culinary herbs reveals terpenoid genes underlying chemodiversity in the Nepetoideae.	"DNA Res. 2020 Jul 31: dsaa016, Online ahead of print."	10.1093/dnares/dsaa016	NA	2020	2020/7/31	asterid	1
(Oregano)	Origanum vulgare	694	Bornowski N et al.	Genome sequencing of four culinary herbs reveals terpenoid genes underlying chemodiversity in the Nepetoideae.	"DNA Res. 2020 Jul 31: dsaa016, Online ahead of print."	10.1093/dnares/dsaa016	NA	2020	2020/7/31	asterid	1
(Rosemary)	Rosmarinus officinalis	1198	Bornowski N et al.	Genome sequencing of four culinary herbs reveals terpenoid genes underlying chemodiversity in the Nepetoideae.	"DNA Res. 2020 Jul 31: dsaa016, Online ahead of print."	10.1093/dnares/dsaa016	NA	2020	2020/7/31	asterid	1
(True lavender)	Lavandula angustifolia	870	Malli RPN et al.	De novo sequencing of the Lavandula angustifolia genome reveals highly duplicated and optimized features for essential oil production.	"Planta. 2018 Sep 29, Epub ahead of print"	10.1007/s00425-018-3012-9	30269192	2018	2018/9/29	asterid	1
(Chinese red sage)	Salvia miltiorrhiza	641	Zhang G et al.	Hybrid de novo genome assembly of the Chinese herbal plant danshen (Salvia miltiorrhiza Bunge)	Gigascience. 2015 Dec 14 4:62. eCollection 2015.	10.1186/s13742-015-0104-3	26673920	2015	2015/12/14	asterid	1
(Scarlet sage)	Salvia splendens	711	Dong AX et al.	"High quality assembly of the reference genome for scarlet sage, Salvia splendens, an economically important ornamental plant."	"Gigascience, 2018 Jun 19, Epub ahead of print"	10.1093/gigascience/giy068		2018	2018/6/19	asterid	1
(Barbed skullcap)	Scutellaria barbata 	405	Xu Z et al.	Comparative Genome Analysis of Scutellaria baicalensis and Scutellaria barbata Reveals the Evolution of Active Flavonoid Biosynthesis.	Genomics Proteomics Bioinformatics. 2020 Nov 3. Online ahead of print.	10.1016/j.gpb.2020.06.002	NA	2020	2020/11/4	asterid	1
(Baikal skullcap)	Scutellaria baicalensis	408	Zhao Q et al.	The Reference Genome Sequence of Scutellaria baicalensis Provides Insights into the Evolution of Wogonin Biosynthesis.	"Mol Plant. 2019 Apr 15, Epub ahead of print"	10.1016/j.molp.2019.04.002	NA	2019	2019/4/15	asterid	1
(Muskmelon)	Cucumis melo	450	Garcia-Mas et al.	The genome of melon (Cucumis melo L.).	Proc Natl Acad Sci U S A. 2012 Jul 17 109(29):11872-7. Epub 2012 Jul 2.	10.1073/pnas.1205415109	22753475	2012	2012/7/2	rosid	1
(Snake gourd)	Trichosanthes anguina	1030	Ma L et al.	 The genome and transcriptome analysis of snake gourd provide insights into its evolution and fruit development and ripening.	"Hortic Res. 7, 199 (2020)."	10.1038/s41438-020-00423-9	NA	2020	2020/12/1	rosid	1
(Bitter gourd)	Momordica charantia	340	Urasaki N et al.	"Draft genome sequence of bitter gourd (Momordica charantia), a vegetable and medicinal plant in tropical and subtropical regions."	DNA Res. 2017 Feb 1 24(1):51-58.	10.1093/dnares/dsw047	28028039	2016	2016/12/27	rosid	1
(Angled gourd)	Luffa acutangula	790	Pootakham W et al.	De novo assemblies of Luffa acutangula and Luffa cylindrica genomes reveal an expansion associated with substantial accumulation of transposable elements.	"Mol Ecol Resour. 2020 Aug 09, Epub ahead of print"	10.1111/1755-0998.13240	NA	2020	2020/8/9	rosid	1
(Sponge gourd)	Luffa cylindrica	736	Zhang T et al.	Long-read sequencing and de novo assembly of the Luffa cylindrica (L.) Roem. Genome.	"Mol Ecol Resour. 2019 Dec 23, Epub ahead of print"	10.1111/1755-0998.13129	NA	2019	2019/12/23	rosid	1
(Bottle gourd)	Lagenaria siceraria	334	Wu S et al.	The bottle gourd genome provides insights in to Cucurbitaceae evolution and facilitates mapping of a Papaya ringspot virus resistance locus	"Plant J. 2017 Sep 23, epub ahead of print"	10.1111/tpj.13722	28940759	2017	2017/9/23	rosid	1
(Wax gourd)	Benincasa hispida	1030	Xie D et al.	The wax gourd genomes offer insights into the genetic diversity and ancestral cucurbit karyotype.	"Nat Commun. 2019 Nov 14, 10(1): 5158"	10.1038/s41467-019-13185-3	NA	2019	2019/11/14	rosid	1
(Crookneck squash)	Cucurbita moschata	372	Sun H et al.	Karyotype stability and unbiased fractionation in the paleo-allotetraploid Cucurbita genomes.	"Mol Plant. 2017 Sep 13, Epub ahead of print"	10.1016/j.molp.2017.09.003	28917590	2017	2017/9/13	rosid	1
(Great pumpkin)	Cucurbita maxima	387	Sun H et al.	Karyotype stability and unbiased fractionation in the paleo-allotetraploid Cucurbita genomes.	"Mol Plant. 2017 Sep 13, Epub ahead of print"	10.1016/j.molp.2017.09.003	28917590	2017	2017/9/13	rosid	1
(Zucchini)	Cucurbita pepo	283	Montero-Pau J et al.	De novo assembly of the zucchini genome reveals a whole genome duplication associated with the origin of the Cucurbita genus.	Plant Biotechnol J. 2017 Nov 7. Epub ahead of print	10.1111/pbi.12860	29112324	2017	2017/11/7	rosid	1
(Silver-seed gourd)	Cucurbita argyrosperma	238	Barrera-Redondo J et al.	The genome of Cucurbita argyrosperma (silver-seed gourd) reveals faster rates of protein-coding gene and long noncoding RNA turnover and neofunctionalization within Cucurbita.	"Mol Plant. 2019 Jan 7, Epub ahead of print"	10.1016/j.molp.2018.12.023	30630074	2019	2019/1/7	rosid	1
(Monk fruit)	Siraitia grosvenorii	420	Itkin M et al.	"The biosynthetic pathway of the nonsugar, high-intensity sweetener mogroside V from Siraitia grosvenorii."	Proc Natl Acad Sci U S A. 2016 Nov 22 113(47):E7619-E7628. Epub 2016 Nov 7.	10.1073/pnas.1604828113	27821754	2016	2016/11/7	rosid	1
"(Wild banana, banana A-genome)"	Musa acuminata	523	D'Hont et al.	The banana (Musa acuminata) genome and the evolution of monocotyledonous plants.	Nature. 2012 Aug 9 488(7410):213-7.	10.1038/nature11241	22801500	2012	2012/8/9	monocotyledon	2
(Wild banana)	Musa__chizocarpa	587	Belser C et al.	Chromosome-scale assemblies of plant genomes using nanopore long reads and optical maps.	"Nat Plants. 2018 Nov 02, 4: 879-887"	10.1038/s41477-018-0289-4		2018	2018/11/2	monocotyledon	2
